Nâng cấp bắt đầu: 11:35:58_16-05-2016
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor.css | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_gecko.css | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie.css | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie7.css | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie8.css | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_iequirks.css | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/icons.png | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/icons_hidpi.png | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/styles.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/additional-methods.min.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.min.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.validate.min.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/action_mysql.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/constants.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/core/admin_functions.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/core/filesystem_functions.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/core/is_user.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/core/theme_functions.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/core/user_functions.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/countries.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/functions.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/ini/mime.ini | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/keywords/vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_authors.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_database.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_extensions.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_global.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_language.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_modules.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_seotools.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_settings.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_siteinfo.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_themes.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_upload.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_webtools.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/global.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/en/install.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/install.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/vi/admin_authors.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/vi/admin_extensions.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/vi/admin_settings.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/vi/global.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/language/vi/install.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/mainfile.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/plugin/mysql_master_slave.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/utf8/lookup.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file includes/xtemplate.class.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file index.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file install/action_mysql.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file install/config.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file install/data.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file install/data_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file install/data_fr.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file install/data_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file install/index.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file install/js/update.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file install/tpl/step4.tpl | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file install/tpl/updatestep3.tpl | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file install/tpl/updatetheme.tpl | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file install/update.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/banners/language/admin_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/banners/language/admin_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/banners/language/en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/banners/language/vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/banners/version.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/comment/blocks/global.block_facebook_comment_box.ini | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/comment/language/admin_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/comment/language/admin_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/comment/language/en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/comment/language/vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/comment/version.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/action_mysql.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/admin/change_status.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/admin/department.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/admin/main.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/admin/reply.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/admin/row.php | SUCCESS
